Encoder params: EncoderParams(80,80,80,Attention,Unified,false,gtype.EncoderParams$$$Lambda$6/759156157@61832929)
encodingIterations: 10
trainingEncodingBatch: 1
optimizer: Adam(0.002,0.9,0.999,1.0E-8)
dev set graph size: 252
pos relations: 934, neg relations: 62318, reflexivity: 252
test set graph size: 277
pos relations: 1287, neg relations: 75165, reflexivity: 277
[0] JSCore104 	 loss: 0.69,	 accuracy = 0.5149
[1] Train173 	 loss: 0.69,	 accuracy = 0.4891
[2] JSCore133 	 loss: 0.69,	 accuracy = 0.5935
[3] Train116 	 loss: 0.69,	 accuracy = 0.4986
[4] Train131 	 loss: 0.69,	 accuracy = 0.5181
[5] Train129 	 loss: 0.69,	 accuracy = 0.7197
[6] Train123 	 loss: 0.69,	 accuracy = 0.6731
[7] Train151 	 loss: 0.69,	 accuracy = 0.6313
[8] Train155 	 loss: 0.68,	 accuracy = 0.6505
[9] JSCore176 	 loss: 0.68,	 accuracy = 0.6367
[10] JSCore125 	 loss: 0.69,	 accuracy = 0.5498
[11] JSCore113 	 loss: 0.67,	 accuracy = 0.5458
[12] Train115 	 loss: 0.66,	 accuracy = 0.6567
[13] JSCore119 	 loss: 0.66,	 accuracy = 0.5388
[14] JSCore119 	 loss: 0.65,	 accuracy = 0.6552
[15] JSCore182 	 loss: 0.64,	 accuracy = 0.6355
[16] JSCore170 	 loss: 0.64,	 accuracy = 0.6127
[17] JSCore112 	 loss: 0.64,	 accuracy = 0.5598
[18] JSCore101 	 loss: 0.63,	 accuracy = 0.5241
[19] JSCore197 	 loss: 0.62,	 accuracy = 0.5740
[20] Train179 	 loss: 0.58,	 accuracy = 0.7527
[21] JSCore174 	 loss: 0.59,	 accuracy = 0.6679
[22] JSCore176 	 loss: 0.56,	 accuracy = 0.6750
[23] Train197 	 loss: 0.51,	 accuracy = 0.7130
[24] JSCore184 	 loss: 0.55,	 accuracy = 0.5583
[25] JSCore123 	 loss: 0.52,	 accuracy = 0.6279
[25] dev set  	 loss: 0.56,	 accuracy = 0.6567
[25] test set 	 loss: 0.52,	 accuracy = 0.6783
[26] JSCore172 	 loss: 0.61,	 accuracy = 0.5904
[27] Train116 	 loss: 0.48,	 accuracy = 0.7889
[28] Train159 	 loss: 0.54,	 accuracy = 0.5804
[29] JSCore125 	 loss: 0.55,	 accuracy = 0.5574
[30] Train153 	 loss: 0.50,	 accuracy = 0.6416
[31] JSCore193 	 loss: 0.52,	 accuracy = 0.7259
[32] JSCore148 	 loss: 0.55,	 accuracy = 0.6749
[33] Train187 	 loss: 0.53,	 accuracy = 0.7235
[34] JSCore171 	 loss: 0.53,	 accuracy = 0.7237
[35] JSCore185 	 loss: 0.53,	 accuracy = 0.6827
[36] Train174 	 loss: 0.48,	 accuracy = 0.7527
[37] JSCore138 	 loss: 0.58,	 accuracy = 0.5720
[38] Train194 	 loss: 0.48,	 accuracy = 0.7062
[39] Train190 	 loss: 0.44,	 accuracy = 0.7752
[40] Train120 	 loss: 0.49,	 accuracy = 0.7843
